Gene	sgRNA	time|beta	time|z	time|p-value	time|fdr	time|wald-p-value	time|wald-fdr	drug_lo|beta	drug_lo|z	drug_lo|p-value	drug_lo|fdr	drug_lo|wald-p-value	drug_lo|wald-fdr	drug_hi|beta	drug_hi|z	drug_hi|p-value	drug_hi|fdr	drug_hi|wald-p-value	drug_hi|wald-fdr
CA9	4	-0.081454	-0.71124	0.55992	0.95638	0.47694	0.92657	0.020618	0.17687	0.92731	0.99214	0.85961	0.98256	0.092747	0.79562	0.60118	0.94521	0.42625	0.69891
CAB39L	4	-0.097038	-0.83874	0.50295	0.95286	0.40162	0.89101	0.14473	1.2296	0.38114	0.99214	0.21887	0.59894	0.28499	2.4212	0.16896	0.94521	0.01547	0.11579
CABLES1	4	0.33408	2.3473	0.0058939	0.17647	0.01891	0.48125	-0.16709	-1.1539	0.39096	0.99214	0.24856	0.61011	-0.25571	-1.7658	0.29077	0.94521	0.077434	0.32495
CABP1	4	0.078656	0.67807	0.51473	0.95286	0.49773	0.93537	0.097564	0.82647	0.55206	0.99214	0.40854	0.74651	-0.17166	-1.454	0.44204	0.94521	0.14594	0.45387
CACUL1	4	0.018969	0.17656	0.88802	0.98696	0.85985	0.99722	-0.047966	-0.43891	0.76817	0.99214	0.66072	0.90691	0.028405	0.25992	0.89587	0.98144	0.79492	0.89976
CAD	4	0.18817	1.8736	0.1277	0.80247	0.06098	0.71332	-0.0024991	-0.024459	0.97642	0.99214	0.98049	0.99218	-0.015243	-0.14918	0.92534	0.98144	0.88141	0.94059
CALCA	4	-0.080828	-0.60611	0.56189	0.95652	0.54444	0.94911	0.16059	1.1838	0.34185	0.99214	0.23648	0.61011	0.072992	0.53809	0.67387	0.94521	0.59052	0.79764
CALCOCO2	4	-0.076085	-0.84127	0.58939	0.95899	0.4002	0.89101	0.026469	0.28769	0.89391	0.99214	0.77358	0.95804	-0.036261	-0.39411	0.84086	0.98144	0.6935	0.85949
CALML6	4	0.1254	1.025	0.30648	0.92273	0.30535	0.84968	-0.098339	-0.79005	0.55992	0.99214	0.4295	0.76353	-0.1098	-0.88212	0.56385	0.94521	0.37771	0.67802
CALR	4	0.11372	1.0404	0.34774	0.92273	0.29814	0.84968	-0.14085	-1.2622	0.44401	0.99214	0.20688	0.59157	-0.14809	-1.3269	0.4833	0.94521	0.18453	0.49312
CAMK1D	4	0.089783	0.80902	0.43615	0.94286	0.4185	0.89618	-0.21009	-1.8609	0.31041	0.99214	0.062757	0.33624	-0.11202	-0.99226	0.55796	0.94521	0.32107	0.62543
CAMK1G	4	-0.064985	-0.76322	0.6444	0.98133	0.44533	0.91193	0.077675	0.89696	0.65619	0.99214	0.36974	0.7359	0.0083124	0.095988	0.98232	0.98814	0.92353	0.95544
CAMK2A	4	0.35433	2.0723	0.0039293	0.13333	0.038234	0.69504	-0.070493	-0.40492	0.68762	0.99214	0.68554	0.92068	-0.1541	-0.88513	0.47741	0.94521	0.37609	0.67802
CAMK2G	4	0.21919	1.3421	0.070727	0.68421	0.17955	0.8022	0.13489	0.81106	0.39882	0.99214	0.41733	0.75263	0.040519	0.24362	0.83497	0.98144	0.80752	0.90874
CAMK2N2	4	-0.060808	-0.47435	0.66208	0.98133	0.63525	0.98139	0.16385	1.2558	0.33595	0.99214	0.2092	0.59157	0.035335	0.2708	0.86837	0.98144	0.78655	0.89972
CAMKK1	4	0.1527	0.9601	0.21022	0.82946	0.337	0.86298	0.20615	1.2739	0.23969	0.99214	0.20271	0.58626	0.11344	0.701	0.51277	0.94521	0.48331	0.72659
CAND1	4	-0.10201	-1.0728	0.48919	0.95286	0.28336	0.84315	0.17184	1.7767	0.29862	0.99214	0.075618	0.37009	0.1173	1.2128	0.50098	0.94521	0.22521	0.53443
CAND2	4	-0.0042474	-0.034259	0.96464	0.99406	0.97267	0.99722	0.01315	0.10427	0.96071	0.99214	0.91695	0.98655	-0.11688	-0.92678	0.5442	0.94521	0.35404	0.66253
CAPG	4	0.19973	1.5597	0.096267	0.76	0.11884	0.76907	-0.0096543	-0.074101	0.95285	0.99214	0.94093	0.98655	-0.21724	-1.6674	0.36149	0.94521	0.09543	0.38014
CAPN3	4	-0.013877	-0.12987	0.89194	0.98696	0.89667	0.99722	-0.078252	-0.71992	0.65226	0.99214	0.47157	0.79439	0.060524	0.55683	0.73281	0.96923	0.57765	0.79426
CAPN7	4	-0.053685	-0.43219	0.69548	0.98133	0.66561	0.98486	0.14584	1.1541	0.37721	0.99214	0.24845	0.61011	0.26174	2.0713	0.19253	0.94521	0.038333	0.22172
CARD8	4	-0.044207	-0.41077	0.73477	0.98433	0.68124	0.98607	0.082467	0.75342	0.63654	0.99214	0.4512	0.77851	-0.094355	-0.86202	0.62279	0.94521	0.38868	0.67985
CARM1	4	0.13895	0.89595	0.25147	0.87671	0.37028	0.88807	-0.073305	-0.46439	0.67387	0.99214	0.64237	0.90367	0.22884	1.4497	0.25147	0.94521	0.14713	0.45387
CASC3	4	-0.060413	-0.41713	0.66405	0.98133	0.67658	0.98607	0.1796	1.219	0.2888	0.99214	0.22286	0.60034	0.40112	2.7224	0.1002	0.94521	0.0064806	0.059975
CASC5	4	0.048238	0.31677	0.68173	0.98133	0.75142	0.99722	0.11865	0.76531	0.46169	0.99214	0.44409	0.77411	0.31746	2.0477	0.15128	0.94521	0.040589	0.22955
CASK	4	-0.031404	-0.34091	0.80354	0.98684	0.73317	0.99722	0.13287	1.4179	0.41061	0.99214	0.15622	0.53368	0.09475	1.0111	0.59528	0.94521	0.31199	0.62543
CASP2	4	-0.0095559	-0.084452	0.92141	0.99406	0.9327	0.99722	-0.0069774	-0.060625	0.96071	0.99214	0.95166	0.98655	-0.0026484	-0.023012	0.97446	0.98814	0.98164	0.99182
CASP3	4	-0.040541	-0.32536	0.75246	0.98684	0.74491	0.99722	0.056554	0.44601	0.7446	0.99214	0.65559	0.90678	-0.097984	-0.77269	0.60314	0.94521	0.43971	0.71277
CASP6	4	-0.12977	-1.1977	0.39489	0.92273	0.23104	0.82146	0.063499	0.57616	0.70727	0.99214	0.56451	0.86168	-0.042556	-0.38613	0.81729	0.97887	0.6994	0.85949
CASP8	4	0.0040752	0.02762	0.99411	0.99803	0.97796	0.99722	0.081782	0.54485	0.64047	0.99214	0.58586	0.86435	0.15128	1.0079	0.40472	0.94521	0.31352	0.62543
CAV2	4	-0.12822	-1.1478	0.39882	0.92273	0.25104	0.83383	0.27343	2.4063	0.11788	0.84211	0.016117	0.17454	0.1271	1.1185	0.47348	0.94521	0.26334	0.59434
CBLB	4	0.26249	1.7051	0.031434	0.51515	0.088177	0.76049	-0.089607	-0.57187	0.60118	0.99214	0.56741	0.86168	-0.093171	-0.59461	0.62868	0.94521	0.5521	0.78061
CBLC	4	0.044905	0.30761	0.7053	0.98133	0.75838	0.99722	0.066819	0.44989	0.68959	0.99214	0.65279	0.90537	0.079928	0.53814	0.64833	0.94521	0.59048	0.79764
CBX2	4	-0.029551	-0.25105	0.81336	0.98684	0.80178	0.99722	-0.066743	-0.55724	0.70138	0.99214	0.57736	0.86435	0.055033	0.45949	0.75246	0.97455	0.64588	0.8347
CBX4	4	-0.13934	-1.0617	0.35953	0.92273	0.28838	0.84315	0.30576	2.2862	0.066798	0.53125	0.022242	0.19862	0.40563	3.0331	0.096267	0.94231	0.0024209	0.029339
CBX7	4	0.17622	0.9741	0.15717	0.82946	0.33001	0.86298	0.13564	0.7369	0.39882	0.99214	0.46118	0.78509	0.20127	1.0934	0.30059	0.94521	0.2742	0.59991
CBX8	4	-0.0097019	-0.075536	0.92141	0.99406	0.93979	0.99722	0.096429	0.73805	0.55796	0.99214	0.46048	0.78509	0.12837	0.98252	0.46758	0.94521	0.32584	0.6277
CC2D1B	4	-0.13712	-1.2709	0.36542	0.92273	0.20376	0.81482	0.029913	0.27252	0.88016	0.99214	0.78523	0.96238	0.17474	1.5919	0.33792	0.94521	0.1114	0.40214
CCAR1	4	0.048193	0.38038	0.68173	0.98133	0.70366	0.98607	-0.16095	-1.2487	0.40079	0.99214	0.21177	0.59225	-0.19569	-1.5182	0.40079	0.94521	0.12896	0.43166
CCDC102A	4	-0.11348	-0.9669	0.45187	0.94286	0.33359	0.86298	0.25885	2.1684	0.13163	0.85185	0.030129	0.23594	0.052727	0.44169	0.76228	0.97487	0.65871	0.84668
CCDC103	4	0.2204	1.124	0.068762	0.68421	0.26101	0.83556	0.19945	0.99961	0.24951	0.99214	0.3175	0.69447	0.10494	0.52595	0.54617	0.94521	0.59892	0.80014
CCDC105	4	-0.0056736	-0.056704	0.95481	0.99406	0.95478	0.99722	-0.078674	-0.77235	0.64833	0.99214	0.43991	0.77378	-0.1537	-1.5088	0.47741	0.94521	0.13134	0.43166
CCDC106	4	0.0068383	0.059467	0.97053	0.99406	0.95258	0.99722	-0.0016287	-0.013925	0.97839	0.99214	0.98889	0.99864	-0.2516	-2.151	0.29273	0.94521	0.03148	0.19242
CCDC107	4	-0.10908	-0.88105	0.46169	0.94378	0.37829	0.88898	-0.0083527	-0.066312	0.95678	0.99214	0.94713	0.98655	-0.17223	-1.3672	0.44204	0.94521	0.17155	0.48362
CCDC109B	4	-0.20038	-2.0372	0.19843	0.82946	0.04163	0.70632	0.099796	0.99693	0.54224	0.99214	0.3188	0.69447	0.13094	1.3081	0.4558	0.94521	0.19085	0.49312
CCDC11	4	-0.22776	-1.7719	0.14931	0.82946	0.076408	0.75388	0.11316	0.86457	0.48527	0.99214	0.38727	0.73829	0.0652	0.49812	0.70923	0.96011	0.6184	0.8197
CCDC113	4	0.21751	1.0238	0.072692	0.68421	0.30591	0.84968	0.26803	1.2382	0.12181	0.84211	0.21565	0.59391	0.17821	0.82324	0.33595	0.94521	0.41037	0.69119
CCDC115	4	0.22627	1.6935	0.053045	0.58696	0.090368	0.76049	-0.039665	-0.29167	0.80157	0.99214	0.77054	0.95804	-0.24026	-1.7667	0.31041	0.94521	0.077282	0.32495
CCDC116	4	0.075491	0.70094	0.53045	0.95286	0.48334	0.92998	0.14786	1.3492	0.36935	0.99214	0.17726	0.55459	0.047569	0.43405	0.78585	0.97602	0.66425	0.84776
CDK1	4	-0.87713	-4.041	0	0	5.3219e-05	0.0033861	0.066442	0.30079	0.69155	0.99214	0.76357	0.95804	0.12259	0.55497	0.48527	0.94521	0.57892	0.79426
CHEK1	4	-0.023201	-0.11191	0.84676	0.98684	0.9109	0.99722	-0.8753	-4.1491	0	0	3.3374e-05	0.00065336	-1.3703	-6.4935	0	0	8.3859e-11	1.7074e-09
CHEK2	4	0.010794	0.047982	0.95088	0.99406	0.96173	0.99722	-1.1411	-4.9848	0	0	6.2021e-07	1.9654e-05	-1.7709	-7.7344	0	0	1.0389e-14	3.7773e-13
DYNLL1	4	0.076541	0.067958	0.52456	0.95286	0.94582	0.99722	1.1739	1.0231	0	0	0.30627	0.68674	1.7323	1.5098	0	0	0.13109	0.43166
EEF2	4	-1.0402	-4.7387	0	0	2.151e-06	0.00027372	0.216	0.9672	0.21218	0.99214	0.33344	0.70424	0.18427	0.82514	0.33202	0.94521	0.40929	0.69119
EIF3A	4	-1.2561	-5.3096	0	0	1.0988e-07	2.7965e-05	0.1513	0.62878	0.35953	0.99214	0.52949	0.83117	0.17386	0.72251	0.33988	0.94521	0.46998	0.72659
EXO1	4	-0.25618	-1.0439	0.10609	0.76	0.29652	0.84968	-1.1594	-4.6425	0	0	3.4425e-06	7.6185e-05	-1.8431	-7.3761	0	0	1.6295e-13	4.8791e-12
FAM35A	4	0.16468	0.18572	0.17878	0.82946	0.85266	0.99722	1.0463	1.158	0	0	0.24685	0.61011	1.4312	1.584	0	0	0.1132	0.40577
FANCA	4	-0.15231	-0.64423	0.31827	0.92273	0.51943	0.93876	-1.2724	-5.2887	0	0	1.2319e-07	6.2704e-06	-1.6532	-6.8702	0	0	6.4131e-12	1.6321e-10
FANCB	4	0.013525	0.058608	0.92338	0.99406	0.95326	0.99722	-1.3442	-5.725	0	0	1.0341e-08	1.132e-06	-2.2948	-9.7684	0	0	1.5385e-22	7.8312e-20
FANCC	4	0.057564	0.24251	0.62672	0.98133	0.80839	0.99722	-1.4606	-6.046	0	0	1.4849e-09	3.8421e-07	-1.8352	-7.5957	0	0	3.0608e-14	1.0386e-12
FANCD2	4	-0.048479	-0.20086	0.7112	0.98133	0.84081	0.99722	-1.4365	-5.849	0	0	4.9445e-09	8.3891e-07	-2.208	-8.9875	0	0	2.5295e-19	4.2918e-17
FANCE	4	0.0084266	0.039627	0.96267	0.99406	0.96839	0.99722	-0.88332	-4.0726	0	0	4.65e-05	0.0008766	-1.1183	-5.153	0	0	2.5635e-07	4.0775e-06
FANCF	4	0.094707	0.4792	0.41061	0.93304	0.6318	0.98139	-0.79397	-3.9472	0.0019646	0.022222	7.9084e-05	0.0014376	-1.1464	-5.6978	0	0	1.2137e-08	2.0592e-07
FANCI	4	-0.24852	-1.1416	0.11591	0.76623	0.25362	0.83383	-0.78697	-3.554	0.0019646	0.022222	0.00037945	0.0062303	-1.1813	-5.3343	0	0	9.5894e-08	1.5745e-06
FANCL	4	-0.077138	-0.35898	0.58743	0.95899	0.71961	0.99263	-0.92013	-4.2101	0	0	2.5521e-05	0.0005196	-1.8363	-8.4019	0	0	4.3949e-17	2.7962e-15
FANCM	4	-0.24162	-1.1911	0.12574	0.8	0.23363	0.82146	-0.59354	-2.8684	0.017682	0.18367	0.0041253	0.055258	-1.2074	-5.8248	0	0	5.7197e-09	1.0039e-07
H2AFX	4	-0.2942	-1.2652	0.076621	0.68421	0.2058	0.81482	-0.91024	-3.8472	0	0	0.00011946	0.0020967	-1.445	-6.1062	0	0	1.0203e-09	1.9974e-08
MAD2L2	4	-0.25154	-0.32901	0.11198	0.76	0.74215	0.99722	1.1823	1.5153	0	0	0.1297	0.48188	1.7629	2.2596	0	0	0.023845	0.15762
MRE11	4	0.055502	0.26446	0.64047	0.98133	0.79143	0.99722	-1.0246	-4.7982	0	0	1.6013e-06	4.2899e-05	-1.272	-5.956	0	0	2.5849e-09	4.6989e-08
NBN	4	0.11634	0.5381	0.33988	0.92273	0.59051	0.97587	-1.0436	-4.7435	0	0	2.1008e-06	5.3466e-05	-1.8931	-8.5989	0	0	8.0504e-18	8.1953e-16
PALB2	4	0.10793	0.48369	0.36935	0.92273	0.62861	0.98139	-1.0581	-4.6599	0	0	3.1632e-06	7.3185e-05	-1.8874	-8.3087	0	0	9.6756e-17	4.9249e-15
PARP1	4	0.23363	0.14885	0.051081	0.58696	0.88167	0.99722	1.2083	0.75571	0	0	0.44983	0.77851	1.8672	1.1678	0	0	0.24288	0.56451
PARP2	4	0.085949	0.17511	0.46955	0.95219	0.86099	0.99722	0.80081	1.6005	0	0	0.10948	0.45304	1.0153	2.0292	0	0	0.04244	0.23228
PAXIP1	4	-0.15267	-0.40057	0.31631	0.92273	0.68874	0.98607	0.74116	1.91	0	0	0.056127	0.32926	1.1016	2.8389	0	0	0.0045272	0.048209
PCNA	4	-0.97169	-4.2199	0	0	2.4437e-05	0.0017769	0.027535	0.11753	0.88409	0.99214	0.90644	0.98655	-0.044752	-0.19102	0.79961	0.97602	0.84851	0.92434
POLR2A	4	-0.89542	-3.8095	0	0	0.00013924	0.0070872	-0.16606	-0.69366	0.39096	0.99214	0.4879	0.81037	-0.23677	-0.98894	0.31434	0.94521	0.32269	0.62543
PSMD1	4	-1.1106	-4.6722	0	0	2.9803e-06	0.0003034	-0.062694	-0.25926	0.7112	0.99214	0.79543	0.96322	0.31913	1.3198	0.15128	0.94521	0.18691	0.49312
RAD50	4	-0.12973	-0.5679	0.39489	0.92273	0.5701	0.96086	-1.0601	-4.5617	0	0	5.075e-06	0.00010763	-1.5379	-6.6168	0	0	3.6714e-11	7.7864e-10
RAD51	4	0.042201	0.17937	0.72888	0.98408	0.85765	0.99722	-1.3628	-5.6855	0	0	1.3044e-08	1.132e-06	-2.1424	-8.9308	0	0	4.2302e-19	5.3829e-17
RAD51B	4	0.17019	0.73534	0.17289	0.82946	0.46213	0.91193	-1.2543	-5.3272	0	0	9.976e-08	6.2704e-06	-2.0076	-8.5264	0	0	1.5091e-17	1.0973e-15
RAD51C	4	-0.17375	-0.80421	0.26326	0.89333	0.42128	0.89618	-0.79801	-3.6299	0	0	0.00028357	0.0048112	-1.3336	-6.0639	0	0	1.3283e-09	2.5042e-08
RAD51D	4	0.044006	0.19647	0.71513	0.98133	0.84424	0.99722	-1.2806	-5.6153	0	0	1.9619e-08	1.4266e-06	-1.7023	-7.4624	0	0	8.4968e-14	2.703e-12
RBBP8	4	0.0030938	0.013313	0.99607	0.99803	0.98938	0.99722	-1.2529	-5.2956	0	0	1.1865e-07	6.2704e-06	-1.8751	-7.9184	0	0	2.4053e-15	1.0202e-13
REV7	4	-0.030544	-0.045868	0.80943	0.98684	0.96342	0.99722	1.0392	1.5329	0	0	0.1253	0.47596	1.3626	2.0098	0	0	0.044448	0.24068
RIF1	4	-0.017092	-0.022729	0.87426	0.98684	0.98187	0.99722	1.0304	1.3443	0	0	0.17884	0.55459	1.5062	1.965	0	0	0.049414	0.24419
RNF168	4	-0.15927	-0.50084	0.29666	0.92273	0.61648	0.9806	0.59325	1.832	0	0	0.06695	0.34431	1.0466	3.2322	0	0	0.0012285	0.0169
RNF8	4	0.24015	0.16224	0.049116	0.58696	0.87112	0.99722	1.2375	0.81933	0	0	0.4126	0.75004	1.7845	1.1815	0	0	0.23742	0.5567
RPA1	4	-0.77598	-3.8492	0	0	0.00011851	0.0067022	0.094131	0.45898	0.57564	0.99214	0.64625	0.90367	-0.17354	-0.84615	0.44008	0.94521	0.39747	0.6858
RPL11	4	-0.78816	-3.6495	0	0	0.00026279	0.01216	-0.13666	-0.62204	0.45776	0.99214	0.53391	0.83232	-0.19863	-0.90414	0.39882	0.94521	0.36592	0.67103
RPL5	4	-0.65665	-3.4702	0.0019646	0.083333	0.00051999	0.022056	-0.014464	-0.075099	0.93517	0.99214	0.94014	0.98655	-0.081439	-0.42282	0.66601	0.94521	0.67242	0.84776
RPS19	4	-1.0021	-4.4744	0	0	7.6615e-06	0.00064995	0.012412	0.054474	0.96071	0.99214	0.95656	0.9876	-0.0023147	-0.010158	0.97642	0.98814	0.99189	0.99778
SEC61A1	4	-1.0413	-4.8972	0	0	9.7216e-07	0.00016494	0.32954	1.5236	0.049116	0.45455	0.12762	0.48028	0.28988	1.3402	0.16503	0.94521	0.18018	0.48783
SHLD1	4	0.03434	0.0346	0.79961	0.98684	0.9724	0.99722	1.212	1.1984	0	0	0.23075	0.60948	1.6365	1.6182	0	0	0.10562	0.40159
SHLD2	4	0.084107	0.09088	0.47741	0.95286	0.92759	0.99722	0.9994	1.0582	0	0	0.28995	0.66182	1.5636	1.6557	0	0	0.097777	0.38283
SHLD3	4	-0.069588	-0.18722	0.63065	0.98133	0.85149	0.99722	0.67543	1.7847	0	0	0.074313	0.36724	1.0413	2.7514	0	0	0.005935	0.058862
TP53BP1	4	0.12578	0.1788	0.30452	0.92273	0.85809	0.99722	0.95297	1.3301	0	0	0.18348	0.55923	1.2333	1.7214	0	0	0.085179	0.35249
UBA1	4	-1.1564	-5.382	0	0	7.3669e-08	2.7965e-05	0.32857	1.5031	0.049116	0.45455	0.13282	0.48518	0.28874	1.3209	0.16503	0.94521	0.18654	0.49312
WRN	4	-0.31374	-1.4816	0.070727	0.68421	0.13846	0.76907	-0.66783	-3.0998	0.0058939	0.065217	0.0019366	0.02916	-0.99565	-4.621	0	0	3.8198e-06	5.8917e-05
XRCC2	4	0.12769	0.549	0.2947	0.92273	0.583	0.97238	-1.1844	-5.0002	0	0	5.7282e-07	1.9654e-05	-1.652	-6.9699	0	0	3.1726e-12	8.9713e-11
XRCC3	4	-0.042031	-0.16662	0.74263	0.98438	0.86767	0.99722	-1.5509	-6.0433	0	0	1.5097e-09	3.8421e-07	-2.3755	-9.2556	0	0	2.1307e-20	5.4226e-18
